Sample,CO2raw,CO2_ADCv,CO2_AOUTv,ALCraw,ALC_ADCv,ALC_AOUTv,Type,ratio co2/ethanol
1150,1367,1.101,1.602,2279,1.836,2.671,regular,0.599775365
1151,1367,1.101,1.602,2271,1.83,2.661,regular,0.602029312
1152,1369,1.103,1.604,2281,1.838,2.673,regular,0.600074822
1153,1369,1.103,1.604,2271,1.83,2.661,regular,0.602780909
1154,1369,1.103,1.604,2281,1.838,2.673,regular,0.600074822
1155,1370,1.104,1.605,2274,1.832,2.665,regular,0.602251407
1156,1367,1.101,1.602,2275,1.833,2.666,regular,0.600900225
1157,1372,1.105,1.608,2287,1.843,2.68,regular,0.6
1158,1368,1.102,1.603,2281,1.838,2.673,regular,0.599700711
1159,1371,1.105,1.607,2287,1.843,2.68,regular,0.599626866
1160,1374,1.107,1.61,2275,1.833,2.666,regular,0.603900975
1161,1369,1.103,1.604,2298,1.851,2.693,regular,0.59561827
1162,1372,1.105,1.608,2287,1.843,2.68,regular,0.6
1163,1367,1.101,1.602,2284,1.84,2.677,regular,0.59843108
1164,1373,1.106,1.609,2279,1.836,2.671,regular,0.602396106
1165,1373,1.106,1.609,2281,1.838,2.673,regular,0.60194538
1166,1374,1.107,1.61,2281,1.838,2.673,regular,0.602319491
1167,1371,1.105,1.607,2281,1.838,2.673,regular,0.601197157
1168,1378,1.11,1.615,2291,1.846,2.685,regular,0.601489758
1169,1377,1.109,1.614,2282,1.839,2.674,regular,0.603590127
1170,1374,1.107,1.61,2291,1.846,2.685,regular,0.599627561
1171,1377,1.109,1.614,2290,1.845,2.684,regular,0.601341282
1172,1372,1.105,1.608,2282,1.839,2.674,regular,0.601346298
1173,1378,1.11,1.615,2287,1.843,2.68,regular,0.60261194
1174,1376,1.109,1.612,2291,1.846,2.685,regular,0.600372439
1175,1379,1.111,1.616,2279,1.836,2.671,regular,0.605016848
1176,1375,1.108,1.611,2283,1.839,2.675,regular,0.602242991
1177,1377,1.109,1.614,2285,1.841,2.678,regular,0.602688574
1178,1381,1.113,1.618,2281,1.838,2.673,regular,0.605312383
1179,1375,1.108,1.611,2285,1.841,2.678,regular,0.601568335
1180,1378,1.11,1.615,2291,1.846,2.685,regular,0.601489758
1181,1381,1.113,1.618,2297,1.851,2.692,regular,0.601040119
1182,1376,1.109,1.612,2285,1.841,2.678,regular,0.601941748
1183,1382,1.113,1.62,2278,1.835,2.67,regular,0.606741573
1184,1381,1.113,1.618,2292,1.847,2.686,regular,0.602382725
1185,1378,1.11,1.615,2294,1.848,2.688,regular,0.600818452
1186,1382,1.113,1.62,2290,1.845,2.684,regular,0.603576751
1187,1387,1.117,1.625,2287,1.843,2.68,regular,0.606343284
1188,1385,1.116,1.623,2290,1.845,2.684,regular,0.604694486
1189,1385,1.116,1.623,2294,1.848,2.688,regular,0.603794643
1190,1366,1.101,1.601,2287,1.843,2.68,regular,0.59738806
1191,1382,1.113,1.62,2292,1.847,2.686,regular,0.603127327
1192,1385,1.116,1.623,2295,1.849,2.689,regular,0.6035701
1193,1388,1.118,1.627,2299,1.852,2.694,regular,0.60393467
1194,1388,1.118,1.627,2291,1.846,2.685,regular,0.605959032
1195,1388,1.118,1.627,2295,1.849,2.689,regular,0.605057642
1196,1391,1.121,1.63,2303,1.855,2.699,regular,0.603927381
1197,1389,1.119,1.628,2291,1.846,2.685,regular,0.606331471
1198,1389,1.119,1.628,2297,1.851,2.692,regular,0.604754829
1199,1387,1.117,1.625,2294,1.848,2.688,regular,0.60453869
1200,1387,1.117,1.625,2301,1.854,2.696,regular,0.602744807
1201,1387,1.117,1.625,2301,1.854,2.696,regular,0.602744807
1202,1387,1.117,1.625,2303,1.855,2.699,regular,0.602074843
1203,1391,1.121,1.63,2295,1.849,2.689,regular,0.606173299
1204,1395,1.124,1.635,2307,1.859,2.704,regular,0.604659763
1205,1392,1.121,1.631,2293,1.847,2.687,regular,0.606996651
1206,1391,1.121,1.63,2303,1.855,2.699,regular,0.603927381
1207,1387,1.117,1.625,2300,1.853,2.695,regular,0.60296846
1208,1391,1.121,1.63,2295,1.849,2.689,regular,0.606173299
1209,1403,1.13,1.644,2311,1.862,2.708,regular,0.607090103
1210,1395,1.124,1.635,2295,1.849,2.689,regular,0.608032726
1211,1389,1.119,1.628,2302,1.855,2.698,regular,0.603409933
1212,1398,1.126,1.638,2307,1.859,2.704,regular,0.605769231
1213,1391,1.121,1.63,2307,1.859,2.704,regular,0.602810651
1214,1396,1.125,1.636,2301,1.854,2.696,regular,0.606824926
1215,1391,1.121,1.63,2296,1.85,2.691,regular,0.60572278
1216,1396,1.125,1.636,2299,1.852,2.694,regular,0.607275427
1217,1397,1.126,1.637,2303,1.855,2.699,regular,0.606520934
1218,1387,1.117,1.625,2303,1.855,2.699,regular,0.602074843
1219,1402,1.13,1.643,2289,1.844,2.682,regular,0.612602535
1220,1395,1.124,1.635,2297,1.851,2.692,regular,0.607355126
1221,1397,1.126,1.637,2303,1.855,2.699,regular,0.606520934
1222,1395,1.124,1.635,2307,1.859,2.704,regular,0.604659763
1223,1395,1.124,1.635,2303,1.855,2.699,regular,0.605779918
1224,1399,1.127,1.639,2311,1.862,2.708,regular,0.605243722
1225,1398,1.126,1.638,2310,1.861,2.707,regular,0.605097894
1226,1397,1.126,1.637,2310,1.861,2.707,regular,0.604728482
1227,1397,1.126,1.637,2311,1.862,2.708,regular,0.60450517
1228,1397,1.126,1.637,2309,1.86,2.706,regular,0.604951959
1229,1399,1.127,1.639,2305,1.857,2.701,regular,0.606812292
1230,1405,1.132,1.646,2309,1.86,2.706,regular,0.608277901
1231,1403,1.13,1.644,2302,1.855,2.698,regular,0.609340252
1232,1401,1.129,1.642,2305,1.857,2.701,regular,0.607922991
1233,1403,1.13,1.644,2313,1.864,2.711,regular,0.606418296
1234,1403,1.13,1.644,2305,1.857,2.701,regular,0.608663458
1235,1402,1.13,1.643,2315,1.865,2.713,regular,0.605602654
1236,1402,1.13,1.643,2315,1.865,2.713,regular,0.605602654
1237,1407,1.134,1.649,2321,1.87,2.72,regular,0.60625
1238,1403,1.13,1.644,2306,1.858,2.702,regular,0.608438194
1239,1404,1.131,1.645,2315,1.865,2.713,regular,0.606339845
1240,1407,1.134,1.649,2313,1.864,2.711,regular,0.608262634
1241,1405,1.132,1.646,2308,1.859,2.705,regular,0.608502773
1242,1402,1.13,1.643,2315,1.865,2.713,regular,0.605602654
1243,1406,1.133,1.648,2287,1.843,2.68,regular,0.614925373
1244,1404,1.131,1.645,2317,1.867,2.715,regular,0.605893186
1245,1409,1.135,1.651,2318,1.868,2.716,regular,0.607879234
1246,1407,1.134,1.649,2311,1.862,2.708,regular,0.608936484
1247,1409,1.135,1.651,2315,1.865,2.713,regular,0.608551419
1248,1406,1.133,1.648,2323,1.872,2.722,regular,0.605437179
1249,1407,1.134,1.649,2309,1.86,2.706,regular,0.609386548
1250,1415,1.14,1.658,2318,1.868,2.716,regular,0.610456554
1251,1413,1.138,1.656,2319,1.868,2.718,regular,0.609271523
1252,1411,1.137,1.654,2321,1.87,2.72,regular,0.608088235
1253,1413,1.138,1.656,2317,1.867,2.715,regular,0.609944751
1254,1410,1.136,1.652,2319,1.868,2.718,regular,0.607799853
1255,1410,1.136,1.652,2325,1.873,2.725,regular,0.606238532
1256,1407,1.134,1.649,2318,1.868,2.716,regular,0.607142857
1257,1411,1.137,1.654,2325,1.873,2.725,regular,0.606972477
1258,1410,1.136,1.652,2317,1.867,2.715,regular,0.608471455
1259,1413,1.138,1.656,2317,1.867,2.715,regular,0.609944751
1260,1417,1.142,1.661,2319,1.868,2.718,regular,0.611111111
1261,1414,1.139,1.657,2318,1.868,2.716,regular,0.610088365
1262,1410,1.136,1.652,2309,1.86,2.706,regular,0.610495196
1263,1412,1.138,1.655,2323,1.872,2.722,regular,0.608008817
1264,1415,1.14,1.658,2319,1.868,2.718,regular,0.610007358
1265,1417,1.142,1.661,2323,1.872,2.722,regular,0.610213079
1266,1412,1.138,1.655,2317,1.867,2.715,regular,0.609576427
1267,1417,1.142,1.661,2335,1.881,2.736,regular,0.607090643
1268,1420,1.144,1.664,2325,1.873,2.725,regular,0.610642202
1269,1415,1.14,1.658,2319,1.868,2.718,regular,0.610007358
1270,1419,1.143,1.663,2327,1.875,2.727,regular,0.609827649
1271,1419,1.143,1.663,2323,1.872,2.722,regular,0.610947832
1272,1420,1.144,1.664,2327,1.875,2.727,regular,0.610194353
1273,1421,1.145,1.665,2325,1.873,2.725,regular,0.611009174
1274,1417,1.142,1.661,2319,1.868,2.718,regular,0.611111111
1275,1419,1.143,1.663,2323,1.872,2.722,regular,0.610947832
1276,1414,1.139,1.657,2331,1.878,2.732,regular,0.606515373
1277,1422,1.146,1.666,2331,1.878,2.732,regular,0.609809663
1278,1418,1.142,1.662,2326,1.874,2.726,regular,0.609684519
1279,1420,1.144,1.664,2323,1.872,2.722,regular,0.611315209
1280,1417,1.142,1.661,2331,1.878,2.732,regular,0.607979502
1281,1423,1.146,1.668,2326,1.874,2.726,regular,0.611885547
1282,1419,1.143,1.663,2325,1.873,2.725,regular,0.610275229
1283,1423,1.146,1.668,2331,1.878,2.732,regular,0.610541728
1284,1426,1.149,1.671,2331,1.878,2.732,regular,0.611639824
